IDENTIFIER,CONCEPT_CODE,SHORT_URI,DEFINITION,DESCRIPTORS,PARENTS,value,PUBLIC_ID
"getNextPvId()","","CL_2000093","","","UBERON_0002048 UBERON_0000065","bronchus fibroblast of lung","cell_type"
"getNextPvId()","","CL_0000037","","","","hematopoietic stem cell","cell_type"
"getNextPvId()","","CL_2000095","","","UBERON_0000922","cord blood hematopoietic stem cell","cell_type"
"getNextPvId()","","CL_0000700","","","","dopaminergic neuron","cell_type"
"getNextPvId()","","CL_2000097","","","UBERON_0000955","midbrain dopaminergic neuron","cell_type"
"getNextPvId()","","CL_0000067","","","","ciliated epithelial cell","cell_type"
"getNextPvId()","","CL_3000000","","","UBERON_0001043","ciliated epithelial cell of esophagus","cell_type"
"getNextPvId()","","CL_0000111","","","","peripheral neuron","cell_type"
"getNextPvId()","","CL_3000004","","","","peripheral sensory neuron","cell_type"
"getNextPvId()","","CL_0000008","","","","migratory cranial neural crest cell","cell_type"
"getNextPvId()","","CL_0000027","","","","smooth muscle cell neural crest derived","cell_type"
"getNextPvId()","","CL_0002676","","","","neural crest derived neuroblast","cell_type"
"getNextPvId()","","CL_0000029","","","","neuron neural crest derived","cell_type"
"getNextPvId()","","CL_0000133","","","UBERON_0000922","neurectodermal cell","cell_type"
"getNextPvId()","","CL_0000031","","","","neuroblast","cell_type"
"getNextPvId()","","CL_0000034","","","","stem cell","cell_type"
"getNextPvId()","","CL_0000035","","","","single fate stem cell","cell_type"
"getNextPvId()","","CL_0000988","","","","hematopoietic cell","cell_type"
"getNextPvId()","","CL_0000566","","","","angioblastic mesenchymal cell","cell_type"
"getNextPvId()","","CL_0000050","","","","megakaryocyte-erythroid progenitor cell","cell_type"
"getNextPvId()","","CL_0000038","","","","erythroid progenitor cell","cell_type"
"getNextPvId()","","CL_0000839","","","","myeloid lineage restricted progenitor cell","cell_type"
"getNextPvId()","","CL_0000039","","","","germ line cell","cell_type"
"getNextPvId()","","CL_0002194","","","","monopoietic cell","cell_type"
"getNextPvId()","","CL_0002009","","","","macrophage dendritic cell progenitor","cell_type"
"getNextPvId()","","CL_0000040","","","","monoblast","cell_type"
"getNextPvId()","","CL_0000835","","","","myeloblast","cell_type"
"getNextPvId()","","CL_0000834","","","","neutrophil progenitor cell","cell_type"
"getNextPvId()","","CL_0000042","","","","neutrophilic myeloblast","cell_type"
"getNextPvId()","","CL_0000048","","","","multi fate stem cell","cell_type"
"getNextPvId()","","CL_0000047","","","","neuronal stem cell","cell_type"
"getNextPvId()","","CL_0002371","","","","somatic cell","cell_type"
"getNextPvId()","","CL_0000049","","","","common myeloid progenitor","cell_type"
"getNextPvId()","","CL_0002032","","","","hematopoietic oligopotent progenitor cell","cell_type"
"getNextPvId()","","CL_0000051","","","","common lymphoid progenitor","cell_type"
"getNextPvId()","","CL_0000052","","","","totipotent stem cell","cell_type"
"getNextPvId()","","CL_0000055","","","","non-terminally differentiated cell","cell_type"
"getNextPvId()","","CL_0000056","","","","myoblast","cell_type"
"getNextPvId()","","CL_0007009","","","","prechondroblast","cell_type"
"getNextPvId()","","CL_0000058","","","","chondroblast","cell_type"
"getNextPvId()","","CL_0007000","","","","preameloblast","cell_type"
"getNextPvId()","","CL_0000059","","","","ameloblast","cell_type"
"getNextPvId()","","CL_0007003","","","","preodontoblast","cell_type"
"getNextPvId()","","CL_0000060","","","","odontoblast","cell_type"
"getNextPvId()","","CL_0007002","","","","precementoblast","cell_type"
"getNextPvId()","","CL_0000061","","","","cementoblast","cell_type"
"getNextPvId()","","CL_0007010","","","UBERON_0004765","preosteoblast","cell_type"
"getNextPvId()","","CL_0000064","","","","ciliated cell","cell_type"
"getNextPvId()","","CL_0000065","","","","ependymal cell","cell_type"
"getNextPvId()","","CL_0000548","","","","animal cell","cell_type"
"getNextPvId()","","CL_0000076","","","","squamous epithelial cell","cell_type"
"getNextPvId()","","CL_0002546","","","UBERON_0000922","embryonic blood vessel endothelial progenitor cell","cell_type"
"getNextPvId()","","CL_0000077","","","","mesothelial cell","cell_type"
"getNextPvId()","","CL_0000357","","","","stratified epithelial stem cell","cell_type"
"getNextPvId()","","CL_0000080","","","","circulating cell","cell_type"
"getNextPvId()","","CL_0000081","","","","blood cell","cell_type"
"getNextPvId()","","CL_0000223","","","UBERON_0000922","endodermal cell","cell_type"
"getNextPvId()","","CL_0000083","","","UBERON_0001264","epithelial cell of pancreas","cell_type"
"getNextPvId()","","CL_0000542","","","","lymphocyte","cell_type"
"getNextPvId()","","CL_0000827","","","","pro-T cell","cell_type"
"getNextPvId()","","CL_0000084","","","","T cell","cell_type"
"getNextPvId()","","CL_0000864","","","","tissue-resident macrophage","cell_type"
"getNextPvId()","","CL_0000091","","","","Kupffer cell","cell_type"
"getNextPvId()","","CL_0000766","","","","myeloid leukocyte","cell_type"
"getNextPvId()","","CL_0000576","","","","monocyte","cell_type"
"getNextPvId()","","CL_0000092","","","UBERON_0004765","osteoclast","cell_type"
"getNextPvId()","","CL_0001035","","","UBERON_0004765","bone cell","cell_type"
"getNextPvId()","","CL_0000094","","","","granulocyte","cell_type"
"getNextPvId()","","CL_0000831","","","","mast cell progenitor","cell_type"
"getNextPvId()","","CL_0000097","","","","mast cell","cell_type"
"getNextPvId()","","CL_0000098","","","","sensory epithelial cell","cell_type"
"getNextPvId()","","CL_0000099","","","","interneuron","cell_type"
"getNextPvId()","","CL_0000187","","","","muscle cell","cell_type"
"getNextPvId()","","CL_0000101","","","","sensory neuron","cell_type"
"getNextPvId()","","CL_0000103","","","","bipolar neuron","cell_type"
"getNextPvId()","","CL_0000104","","","","multipolar neuron","cell_type"
"getNextPvId()","","CL_0000105","","","","pseudounipolar neuron","cell_type"
"getNextPvId()","","CL_0000106","","","","unipolar neuron","cell_type"
"getNextPvId()","","CL_0000107","","","","autonomic neuron","cell_type"
"getNextPvId()","","CL_0000108","","","","cholinergic neuron","cell_type"
"getNextPvId()","","CL_0000337","","","","neuroblast (sensu Vertebrata)","cell_type"
"getNextPvId()","","CL_0000121","","","UBERON_0000955","Purkinje cell","cell_type"
"getNextPvId()","","CL_0000030","","","","glioblast","cell_type"
"getNextPvId()","","CL_0000125","","","","glial cell","cell_type"
"getNextPvId()","","CL_0000126","","","UBERON_0000955","macroglial cell","cell_type"
"getNextPvId()","","CL_0000127","","","UBERON_0000955","astrocyte","cell_type"
"getNextPvId()","","CL_0002453","","","","oligodendrocyte precursor cell","cell_type"
"getNextPvId()","","CL_0000243","","","","glial cell (sensu Vertebrata)","cell_type"
"getNextPvId()","","CL_0000129","","","","microglial cell","cell_type"
"getNextPvId()","","CL_0000132","","","","corneal endothelial cell","cell_type"
"getNextPvId()","","CL_0002320","","","","connective tissue cell","cell_type"
"getNextPvId()","","CL_0000499","","","","stromal cell","cell_type"
"getNextPvId()","","CL_0000135","","","","fibrocyte","cell_type"
"getNextPvId()","","CL_0000136","","","","fat cell","cell_type"
"getNextPvId()","","CL_0000137","","","UBERON_0004765","osteocyte","cell_type"
"getNextPvId()","","CL_0000138","","","","chondrocyte","cell_type"
"getNextPvId()","","CL_0000141","","","UBERON_0004765","cementocyte","cell_type"
"getNextPvId()","","CL_0000142","","","","hyalocyte","cell_type"
"getNextPvId()","","CL_0000147","","","","pigment cell","cell_type"
"getNextPvId()","","CL_0000541","","","","melanoblast","cell_type"
"getNextPvId()","","CL_0000148","","","","melanocyte","cell_type"
"getNextPvId()","","CL_0000150","","","","glandular epithelial cell","cell_type"
"getNextPvId()","","CL_0000151","","","","secretory cell","cell_type"
"getNextPvId()","","CL_0000152","","","","exocrine cell","cell_type"
"getNextPvId()","","CL_0000153","","","","glycosaminoglycan secreting cell","cell_type"
"getNextPvId()","","CL_0000155","","","UBERON_0000945","peptic cell","cell_type"
"getNextPvId()","","CL_0000157","","","","surfactant secreting cell","cell_type"
"getNextPvId()","","CL_0002328","","","UBERON_0000065","bronchial epithelial cell","cell_type"
"getNextPvId()","","CL_0000158","","","UBERON_0000065","club cell","cell_type"
"getNextPvId()","","CL_0000161","","","","acid secreting cell","cell_type"
"getNextPvId()","","CL_0000162","","","UBERON_0000945","parietal cell","cell_type"
"getNextPvId()","","CL_0000163","","","","endocrine cell","cell_type"
"getNextPvId()","","CL_0000164","","","","enteroendocrine cell","cell_type"
"getNextPvId()","","CL_0000165","","","","neuroendocrine cell","cell_type"
"getNextPvId()","","CL_0000166","","","","chromaffin cell","cell_type"
"getNextPvId()","","CL_0002351","","","","progenitor cell of endocrine pancreas","cell_type"
"getNextPvId()","","CL_0000169","","","UBERON_0001264","type B pancreatic cell","cell_type"
"getNextPvId()","","CL_0000168","","","","insulin secreting cell","cell_type"
"getNextPvId()","","CL_0000170","","","","glucagon secreting cell","cell_type"
"getNextPvId()","","CL_0002067","","","","type A enteroendocrine cell","cell_type"
"getNextPvId()","","CL_0000171","","","UBERON_0001264","pancreatic A cell","cell_type"
"getNextPvId()","","CL_0000502","","","","type D enteroendocrine cell","cell_type"
"getNextPvId()","","CL_0000173","","","UBERON_0001264","pancreatic D cell","cell_type"
"getNextPvId()","","CL_0000175","","","UBERON_0000991","luteal cell","cell_type"
"getNextPvId()","","CL_0000178","","","UBERON_0000991","Leydig cell","cell_type"
"getNextPvId()","","CL_0000181","","","","metabolising cell","cell_type"
"getNextPvId()","","CL_0000182","","","UBERON_0002107","hepatocyte","cell_type"
"getNextPvId()","","CL_0000183","","","","contractile cell","cell_type"
"getNextPvId()","","CL_0000185","","","","myoepithelial cell","cell_type"
"getNextPvId()","","CL_0000186","","","","myofibroblast cell","cell_type"
"getNextPvId()","","CL_0000188","","","","cell of skeletal muscle","cell_type"
"getNextPvId()","","CL_0000857","","","","slow muscle myoblast","cell_type"
"getNextPvId()","","CL_0000189","","","","slow muscle cell","cell_type"
"getNextPvId()","","CL_0000858","","","","fast muscle myoblast","cell_type"
"getNextPvId()","","CL_0000190","","","","fast muscle cell","cell_type"
"getNextPvId()","","CL_0000514","","","","smooth muscle myoblast","cell_type"
"getNextPvId()","","CL_0000199","","","","mechanoreceptor cell","cell_type"
"getNextPvId()","","CL_0000202","","","UBERON_0001690","auditory hair cell","cell_type"
"getNextPvId()","","CL_0000206","","","","chemoreceptor cell","cell_type"
"getNextPvId()","","CL_0000209","","","UBERON_0002097","taste receptor cell","cell_type"
"getNextPvId()","","CL_0000210","","","","photoreceptor cell","cell_type"
"getNextPvId()","","CL_0000006","","","","neuronal receptor cell","cell_type"
"getNextPvId()","","CL_0000211","","","","electrically active cell","cell_type"
"getNextPvId()","","CL_0000212","","","","absorptive cell","cell_type"
"getNextPvId()","","CL_0000213","","","","lining cell","cell_type"
"getNextPvId()","","CL_0002078","","","","meso-epithelial cell","cell_type"
"getNextPvId()","","CL_0000214","","","","synovial cell","cell_type"
"getNextPvId()","","CL_0000215","","","","barrier cell","cell_type"
"getNextPvId()","","CL_0000630","","","","supportive cell","cell_type"
"getNextPvId()","","CL_0000216","","","UBERON_0000991","Sertoli cell","cell_type"
"getNextPvId()","","CL_0002377","","","","immature Schwann cell","cell_type"
"getNextPvId()","","CL_0000218","","","","myelinating Schwann cell","cell_type"
"getNextPvId()","","CL_0000219","","","","motile cell","cell_type"
"getNextPvId()","","CL_0000221","","","UBERON_0000922","ectodermal cell","cell_type"
"getNextPvId()","","CL_0000222","","","UBERON_0000922","mesodermal cell","cell_type"
"getNextPvId()","","CL_0000225","","","","anucleate cell","cell_type"
"getNextPvId()","","CL_0000226","","","","single nucleate cell","cell_type"
"getNextPvId()","","CL_0000228","","","","multinucleate cell","cell_type"
"getNextPvId()","","CL_0000764","","","","erythroid lineage cell","cell_type"
"getNextPvId()","","CL_0000558","","","","reticulocyte","cell_type"
"getNextPvId()","","CL_0000232","","","","erythrocyte","cell_type"
"getNextPvId()","","CL_0000763","","","","myeloid cell","cell_type"
"getNextPvId()","","CL_0000556","","","UBERON_0004765","megakaryocyte","cell_type"
"getNextPvId()","","CL_0000233","","","","platelet","cell_type"
"getNextPvId()","","CL_0000234","","","","phagocyte","cell_type"
"getNextPvId()","","CL_0000235","","","","macrophage","cell_type"
"getNextPvId()","","CL_0000945","","","","lymphocyte of B lineage","cell_type"
"getNextPvId()","","CL_0000236","","","","B cell","cell_type"
"getNextPvId()","","CL_0000114","","","UBERON_0000922","surface ectodermal cell","cell_type"
"getNextPvId()","","CL_0000242","","","UBERON_0002097","Merkel cell","cell_type"
"getNextPvId()","","CL_0000339","","","","glioblast (sensu Vertebrata)","cell_type"
"getNextPvId()","","CL_0000244","","","","transitional epithelial cell","cell_type"
"getNextPvId()","","CL_0000295","","","","somatotropin secreting cell","cell_type"
"getNextPvId()","","CL_0000586","","","","germ cell","cell_type"
"getNextPvId()","","CL_0000300","","","","gamete","cell_type"
"getNextPvId()","","CL_0000377","","","","tracheoblast","cell_type"
"getNextPvId()","","CL_0000307","","","UBERON_0000065","tracheal epithelial cell","cell_type"
"getNextPvId()","","CL_0002202","","","UBERON_0000065","epithelial cell of tracheobronchial tree","cell_type"
"getNextPvId()","","CL_0000237","","","","keratinizing barrier epithelial cell","cell_type"
"getNextPvId()","","CL_0000362","","","","epidermal cell","cell_type"
"getNextPvId()","","CL_0000313","","","","serous secreting cell","cell_type"
"getNextPvId()","","CL_0000317","","","UBERON_0002097","sebum secreting cell","cell_type"
"getNextPvId()","","CL_0000318","","","","sweat secreting cell","cell_type"
